codregion,cod_comuna,Region,Comuna,Total,Validos,Apruebo,Rechazo,Nulo,Blanco,Validos_per,Apruebo_per,Rechazo_per,Nulo_per,Blanco_per,Electores,Participacion,Participacion_per,Comuna_Servel
13,13201,Metropolitana,Puente Alto,228573,227706,201050,26656,631,236,0.996206901077555,88.29367693429246,11.706323065707537,0.27606060208336064,0.10324929016113013,398965,228573,0.5729149173486396,PUENTE ALTO
13,13132,Metropolitana,Vitacura,60325,60069,19746,40323,162,94,0.9957563199336925,32.8721969734805,67.1278030265195,0.26854537919602156,0.15582262743472855,88737,60325,0.6798178888175169,VITACURA
13,13131,Metropolitana,San Ramón,45249,44924,38972,5952,227,98,0.9928175208291896,86.75095717211289,13.249042827887097,0.5016685451612191,0.21657937191982146,82360,45249,0.549405050995629,SAN RAMON
13,13130,Metropolitana,San Miguel,57221,57026,46402,10624,157,38,0.9965921602208979,81.3699014484621,18.630098551537895,0.2743747924712955,0.06640918543891228,104331,57221,0.5484563552539513,SAN MIGUEL
13,13129,Metropolitana,San Joaquín,48203,47992,41800,6192,149,62,0.9956226790863639,87.09784964160694,12.902150358393067,0.3091093915316474,0.12862269983196065,83179,48203,0.5795092511330985,SAN JOAQUIN
13,13128,Metropolitana,Renca,65394,64900,57666,7234,241,253,0.9924457901336514,88.85362095531588,11.14637904468413,0.3685353396336055,0.38688564700125394,117169,65394,0.5581169080558851,RENCA
13,13127,Metropolitana,Recoleta,76412,75978,64311,11667,318,116,0.9943202638329058,84.64423912185106,15.355760878148939,0.416165000261739,0.15180861644767837,143902,76412,0.5310002640686022,RECOLETA
13,13126,Metropolitana,Quinta Normal,55219,54964,46729,8235,180,75,0.995382024303229,85.01746597773088,14.982534022269123,0.32597475506619095,0.13582281461091292,102553,55219,0.5384435365128275,QUINTA NORMAL
13,13125,Metropolitana,Quilicura,84078,83787,73637,10150,216,75,0.9965389281381575,87.88594889421987,12.114051105780133,0.2569043031470777,0.08920288303717976,138256,84078,0.6081327392662886,QUILICURA
13,13124,Metropolitana,Pudahuel,99678,99261,87139,12122,302,115,0.9958165292241016,87.7877514834628,12.21224851653721,0.30297558137201785,0.11537149621782138,168418,99678,0.5918488522604473,PUDAHUEL
13,13123,Metropolitana,Providencia,94100,93793,60123,33670,206,101,0.9967375132837407,64.10179864168968,35.898201358310324,0.2189160467587673,0.1073326248671626,169757,94100,0.5543217658181989,PROVIDENCIA
13,13122,Metropolitana,Peñalolén,22934,22804,18497,4307,92,38,0.994331560129066,81.11296263813365,18.887037361866337,0.40115112932763586,0.16569285776576262,42048,22934,0.5454242770167428,PEÑALOLEN
13,13121,Metropolitana,Pedro Aguirre Cerda,55979,55544,48630,6914,353,82,0.9922292288179496,87.55221085985885,12.447789140141149,0.6305936154629415,0.1464835027420997,94170,55979,0.5944462142932994,PEDRO AGUIRRE CERDA
13,13120,Metropolitana,Ñuñoa,3258,3231,2003,1228,17,10,0.9917127071823204,61.993190962550294,38.006809037449706,0.521792510742787,0.3069367710251688,10388,3258,0.3136311128224875,ÑUÑOA
13,13119,Metropolitana,Maipú,243115,242266,208748,33518,644,205,0.9965078255146741,86.16479406932875,13.835205930671247,0.2648952141990416,0.08432223433354585,389595,243115,0.6240198154493769,MAIPU
13,13118,Metropolitana,Macul,60501,60255,49766,10489,170,76,0.9959339515049338,82.59231599037425,17.407684009625758,0.2809870911224608,0.12561775838415895,101724,60501,0.5947563996696945,MACUL
13,13117,Metropolitana,Lo Prado,51362,51073,44376,6697,216,73,0.9943732720688446,86.88739647171695,13.112603528283046,0.42054437132510414,0.14212842179042873,89765,51362,0.5721829220743051,LO PRADO
13,13116,Metropolitana,Lo Espejo,50681,50361,44657,5704,217,103,0.9936859967246108,88.67377534203054,11.32622465796946,0.42816834711233004,0.20323198042658985,91888,50681,0.5515518892564861,LO ESPEJO
13,13115,Metropolitana,Lo Barnechea,55257,55013,21111,33902,178,66,0.9955842698662613,38.37456601166997,61.62543398833004,0.3221311327071683,0.11944188066670286,81361,55257,0.6791583190963729,LO BARNECHEA
13,13114,Metropolitana,Las Condes,166540,165842,73386,92456,462,236,0.9958088146991714,44.25055172995984,55.74944827004016,0.2774108322324967,0.14170769785036627,267875,166540,0.621707886140924,LAS CONDES
13,13113,Metropolitana,La Reina,59183,58973,39970,19003,128,82,0.9964516837605394,67.77677920404253,32.223220795957474,0.2162783231671257,0.1385533007789399,91690,59183,0.6454684262187806,LA REINA
13,13112,Metropolitana,La Pintana,73732,73264,64777,8487,342,126,0.9936526881137091,88.41586590958724,11.584134090412753,0.46384202245971895,0.17088916616937014,139554,73732,0.5283402840477521,LA PINTANA
13,13111,Metropolitana,La Granja,57302,57016,49985,7031,213,73,0.995008900212907,87.66837378981339,12.331626210186613,0.3717147743534257,0.1273952043558689,104909,57302,0.546206712484153,LA GRANJA
13,13110,Metropolitana,La Florida,182344,181521,152889,28632,479,344,0.9954865528890449,84.22661840778753,15.773381592212472,0.26269029965340235,0.1886544114421094,307743,182344,0.5925203822670215,LA FLORIDA
13,13109,Metropolitana,La Cisterna,45847,45681,37198,8483,124,42,0.9963792614565838,81.42991615770234,18.57008384229767,0.27046480685759156,0.09160904748402295,83559,45847,0.5486781794899412,LA CISTERNA
13,13108,Metropolitana,Independencia,38472,38291,31300,6991,129,52,0.995295279683926,81.74244600558877,18.257553994411218,0.335308796007486,0.13516323559991683,81550,38472,0.4717596566523605,INDEPENDENCIA
13,13107,Metropolitana,Huechuraba,45957,45733,37171,8562,153,71,0.995125878538634,81.2782892003586,18.721710799641397,0.33291990338794963,0.15449224274865636,72756,45957,0.6316592445983836,HUECHURABA
13,13106,Metropolitana,Estación Central,62940,62633,52728,9905,240,67,0.9951223387353034,84.18565293056376,15.814347069436241,0.3813155386081983,0.10645058786145536,127362,62940,0.4941819380977058,ESTACION CENTRAL
13,13105,Metropolitana,El Bosque,75838,75460,64401,11059,272,106,0.9950156913420712,85.3445534057779,14.655446594222104,0.3586592473430206,0.1397716184498536,138923,75838,0.5458995270761501,EL BOSQUE
13,13104,Metropolitana,Conchalí,65708,65414,56395,9019,204,90,0.9955256589760759,86.21243158956798,13.78756841043202,0.31046447921105497,0.13696962318134778,119859,65708,0.5482108143735556,CONCHALI
13,13103,Metropolitana,Cerro Navia,64102,63724,55912,7812,259,119,0.9941031481077034,87.74088255602285,12.25911744397715,0.40404355558328914,0.1856416336463761,116544,64102,0.5500240252608457,CERRO NAVIA
13,13102,Metropolitana,Cerrillos,37318,37164,31190,5974,120,34,0.9958733051074549,83.92530405769024,16.074695942309763,0.32156064097754433,0.0911088482769709,67845,37318,0.5500479033090132,CERRILLOS
13,13101,Metropolitana,Santiago,149713,149120,119023,30097,414,179,0.99603908812194,79.81692596566523,20.183074034334762,0.27652909232999134,0.11956209547601077,337288,149713,0.4438728920092028,SANTIAGO
12,12402,Magallanes y Antártica Chilena,Torres del Paine,592,586,472,114,4,2,0.9898648648648649,80.54607508532423,19.453924914675767,0.6756756756756757,0.33783783783783783,1734,592,0.3414071510957324,TORRES DEL PAINE
12,12401,Magallanes y Antártica Chilena,Natales,7798,7757,6506,1251,25,16,0.9947422416004104,83.87263117184477,16.127368828155213,0.32059502436522186,0.20518081559374196,22396,7798,0.3481871762814788,NATALES
12,12303,Magallanes y Antártica Chilena,Timaukel,94,93,63,30,1,0,0.9893617021276596,67.74193548387096,32.25806451612903,1.0638297872340425,0,829,94,0.11338962605548854,TIMAUKEL
12,12302,Magallanes y Antártica Chilena,Primavera,253,253,218,35,0,0,1,86.16600790513834,13.83399209486166,0,0,1265,253,0.2,PRIMAVERA
12,12301,Magallanes y Antártica Chilena,Porvenir,1895,1889,1539,350,6,0,0.9968337730870712,81.47167813658021,18.5283218634198,0.31662269129287596,0,6156,1895,0.30782975958414555,PORVENIR
12,12201,Magallanes y Antártica Chilena,Cabo de Hornos,645,644,375,269,1,0,0.9984496124031008,58.22981366459628,41.77018633540372,0.15503875968992248,0,1916,645,0.3366388308977035,CABO DE HORNOS(EX-NAVARINO)
12,12104,Magallanes y Antártica Chilena,San Gregorio,205,204,130,74,0,1,0.9951219512195122,63.725490196078425,36.27450980392157,0,0.4878048780487805,901,205,0.22752497225305215,SAN GREGORIO
